s	t	w
id121	id169	1
id121	id124	1
id121	id125	1
id123	id121	0
id123	id126	0
id123	id122	0
id123	id124	1
id126	id123	0
id126	id122	0
id126	id121	0
id126	id4	0
id126	id127	1
id126	id124	1
id128	id129	0
id128	id130	0
id128	id125	1
id129	id128	0
id129	id130	0
id129	id125	1
id130	id128	0
id130	id129	0
id130	id125	1
id131	id126	0
id131	id132	0
id131	id123	0
id131	id122	0
id131	id127	1
id131	id121	0
id4	id2	0
id4	id133	0
id4	id134	0
id4	id17	1
id4	id135	0
id136	id137	0
id136	id138	0
id136	id139	1
id140	id136	0
id140	id62	0
id140	id96	1
id140	id139	1
id140	id33	1
id141	id62	0
id141	id142	0
id141	id139	1
id143	id144	0
id143	id145	0
id143	id62	0
id143	id139	1
id146	id147	0
id146	id96	0
id146	id62	0
id146	id33	1
id146	id139	1
id148	id96	0
id148	id136	0
id148	id139	1
id149	id63	0
id149	id150	0
id149	id151	1
id152	id153	0
id152	id2	0
id152	id20	1
id152	id94	1
id154	id3	0
id154	id155	1
id156	id157	1
id156	id158	0
id159	id160	1
id159	id161	0
id159	id162	1
id163	id125	0
id163	id164	1
id163	id165	0
id166	id121	0
id166	id125	1
id167	id127	1
id122	id121	0
id122	id126	0
id122	id123	0
id122	id3	0
id122	id127	1
id122	id168	0
id169	id121	0
id169	id170	0
id169	id168	0
id169	id125	1
id169	id154	1
id169	id172	0
id173	id149	0
id173	id151	1
id96	id61	0
id96	id174	1
id175	id96	1
id147	id146	0
id147	id90	1
id176	id177	1
id176	id178	0
id176	id147	1
id176	id146	1
id179	id178	0
id179	id173	0
id179	id96	1
id180	id181	0
id180	id179	0
id180	id182	0
id180	id136	0
id180	id90	1
id144	id63	0
id144	id62	0
id144	id61	0
id144	id90	1
id144	id96	1
id183	id184	0
id183	id185	0
id183	id186	0
id183	id187	1
id184	id183	0
id184	id185	0
id184	id188	0
id184	id187	1
id189	id190	0
id189	id191	0
id189	id187	1
id189	id192	1
id193	id194	0
id193	id195	0
id193	id187	1
id195	id193	0
id195	id194	0
id195	id187	1
id196	id186	0
id196	id197	0
id196	id187	1
id196	id198	1
id196	id199	0
id402	id401	0
id402	id567	0
id402	id3	0
id402	id187	1
id200	id201	0
id200	id121	0
id200	id191	1
id200	id189	1
id200	id202	0
id168	id203	0
id168	id204	0
id168	id205	0
id168	id125	1
id168	id124	1
id206	id207	0
id206	id208	0
id206	id209	0
id206	id124	1
id206	id125	1
id164	id207	0
id164	id210	0
id164	id125	1
id211	id207	0
id211	id212	0
id211	id125	1
id211	id124	1
id208	id210	0
id208	id207	1
id213	id210	0
id213	id214	0
id213	id215	0
id213	id216	0
id213	id125	1
id213	id124	1
id209	id207	1
id209	id217	0
id209	id210	0
id209	id124	1
id218	id121	0
id218	id217	0
id218	id210	0
id218	id219	1
id218	id220	1
id221	id222	0
id221	id223	0
id221	id210	0
id221	id207	1
id224	id225	0
id224	id226	0
id224	id219	0
id224	id227	1
id224	id228	0
id229	id210	0
id229	id207	0
id229	id230	0
id229	id126	0
id229	id187	1
id229	id231	1
id229	id232	0
id233	id226	0
id233	id222	0
id233	id125	1
id233	id207	1
id234	id235	0
id234	id236	0
id234	id237	1
id234	id238	1
id239	id240	0
id239	id241	0
id239	id192	1
id239	id231	1
id239	id242	1
id243	id244	0
id243	id3	0
id243	id245	1
id243	id212	1
id246	id247	0
id246	id125	1
id246	id231	1
id248	id249	0
id248	id250	0
id248	id251	1
id252	id253	0
id252	id254	0
id252	id255	1
id252	id256	1
id257	id258	0
id257	id259	0
id257	id260	0
id257	id256	1
id257	id261	1
id262	id263	0
id262	id264	0
id262	id188	1
id262	id192	1
id265	id266	0
id265	id267	0
id265	id268	0
id265	id124	1
id265	id125	1
id269	id270	0
id269	id271	0
id269	id272	1
id269	id273	1
id274	id275	1
id274	id185	0
id274	id183	0
id274	id276	1
id274	id277	1
id274	id278	1
id279	id265	0
id279	id268	0
id279	id280	1
id279	id281	1
id279	id282	1
id283	id284	0
id283	id285	0
id283	id286	0
id283	id185	1
id283	id287	1
id288	id289	0
id288	id290	0
id288	id256	0
id288	id291	1
id292	id274	0
id292	id293	0
id292	id184	1
id292	id294	1
id295	id296	0
id295	id297	0
id295	id298	1
id299	id212	0
id299	id187	1
id300	id299	0
id300	id301	0
id300	id231	1
id300	id187	1
id300	id302	0
id303	id304	0
id303	id305	0
id303	id125	1
id306	id41	0
id306	id207	0
id306	id226	0
id306	id231	1
id306	id187	1
id306	id307	0
id308	id207	0
id308	id127	1
id309	id207	0
id309	id226	0
id309	id310	0
id309	id41	0
id309	id231	1
id309	id187	1
id309	id225	1
id311	id121	0
id311	id122	0
id311	id125	1
id312	id313	0
id312	id314	0
id312	id315	1
id316	id41	0
id316	id317	0
id316	id187	1
id316	id231	1
id41	id318	0
id41	id319	0
id41	id320	0
id41	id321	1
id41	id187	1
id41	id322	1
id41	id323	0
id324	id325	0
id324	id187	1
id230	id326	0
id230	id41	0
id230	id187	1
id327	id308	0
id327	id328	0
id327	id187	1
id329	id330	0
id329	id331	0
id329	id332	0
id329	id231	1
id333	id334	0
id333	id335	0
id333	id212	0
id333	id336	1
id333	id337	1
id338	id339	0
id338	id340	0
id338	id341	0
id338	id342	1
id338	id343	1
id344	id345	0
id344	id346	0
id344	id125	1
id344	id154	1
id347	id348	0
id347	id349	0
id347	id350	1
id347	id124	1
id351	id338	0
id351	id352	0
id351	id184	1
id353	id354	0
id353	id345	0
id353	id355	0
id353	id125	1
id353	id219	1
id353	id127	1
id356	id357	0
id356	id185	0
id356	id358	1
id356	id359	1
id357	id356	0
id357	id352	0
id357	id358	1
id357	id125	1
id360	id210	0
id360	id361	0
id360	id231	1
id360	id362	1
id363	id364	0
id363	id127	1
id365	id366	0
id365	id367	0
id365	id362	1
id365	id359	1
id365	id368	0
id369	id370	1
id369	id121	0
id369	id125	1
id371	id121	0
id371	id372	0
id371	id125	1
id371	id154	1
id373	id374	0
id373	id375	0
id373	id376	0
id373	id362	1
id377	id378	0
id377	id373	0
id377	id379	0
id377	id370	1
id380	id41	0
id380	id381	0
id380	id382	0
id380	id125	1
id383	id384	0
id383	id385	0
id383	id179	1
id383	id386	1
id387	id383	0
id387	id185	0
id387	id388	0
id387	id389	1
id387	id390	1
id387	id391	0
id392	id183	0
id392	id185	0
id392	id393	1
id392	id394	1
id392	id269	1
id395	id396	0
id395	id397	1
id201	id398	0
id201	id399	0
id201	id202	0
id201	id400	1
id201	id191	1
id401	id402	1
id401	id227	1
id186	id196	0
id186	id227	1
id222	id225	0
id222	id187	1
id227	id225	0
id227	id403	1
id404	id405	0
id404	id187	1
id406	id407	0
id406	id227	1
id207	id408	0
id207	id226	0
id207	id225	0
id207	id187	1
id207	id227	1
id409	id195	0
id409	id193	0
id409	id187	1
id410	id193	0
id410	id411	0
id410	id412	1
id410	id187	1
id413	id121	0
id413	id414	0
id413	id125	1
id378	id377	0
id378	id373	0
id378	id415	1
id416	id41	0
id416	id417	0
id416	id418	1
id419	id217	0
id419	id364	0
id419	id125	1
id420	id411	0
id420	id421	1
id420	id422	0
id423	id424	0
id423	id425	0
id423	id154	1
id423	id426	0
id427	id428	0
id427	id124	1
id429	id436	0
id429	id431	0
id429	id432	1
id429	id433	0
id434	id435	0
id434	id503	0
id434	id436	1
id437	id210	0
id437	id121	0
id437	id125	1
id210	id207	0
id210	id121	0
id210	id125	1
id210	id438	0
id439	id210	0
id439	id314	0
id439	id440	0
id439	id227	1
id441	id203	0
id441	id442	0
id441	id491	1
id212	id443	0
id212	id444	0
id212	id445	1
id212	id446	0
id447	id207	0
id447	id448	1
id449	id450	0
id449	id451	0
id449	id491	1
id452	id453	0
id452	id454	0
id452	id455	1
id456	id457	0
id456	id301	0
id456	id458	1
id459	id460	0
id459	id461	0
id459	id125	1
id462	id463	0
id462	id187	1
id464	id195	0
id464	id455	1
id465	id207	0
id465	id187	1
id226	id425	0
id226	id187	1
id226	id231	1
id330	id466	0
id330	id187	1
id467	id468	0
id467	id411	0
id467	id187	1
id469	id470	0
id469	id124	1
id471	id472	0
id471	id473	0
id471	id430	1
id457	id326	0
id457	id125	1
id474	id411	0
id474	id475	1
id476	id477	0
id476	id183	0
id476	id479	1
id476	id480	1
id476	id481	0
id482	id483	0
id482	id484	0
id482	id485	1
id486	id184	0
id486	id487	1
id488	id474	0
id488	id184	1
id489	id490	0
id489	id491	1
id492	id411	0
id492	id493	1
id494	id311	0
id494	id495	1
id496	id326	0
id496	id454	0
id496	id497	1
id496	id498	0
id499	id500	0
id499	id501	1
id502	id503	0
id502	id504	0
id502	id125	1
id502	id505	1
id506	id507	0
id506	id508	0
id506	id509	1
id506	id164	0
id78	id510	0
id78	id263	0
id78	id511	1
id512	id310	0
id512	id513	1
id512	id514	0
id515	id452	0
id515	id202	0
id515	id55	1
id516	id517	0
id516	id518	0
id516	id450	1
id519	id520	0
id519	id521	0
id519	id522	1
id523	id524	0
id523	id55	1
id525	id526	0
id525	id527	0
id525	id499	0
id525	id528	1
id529	id290	0
id529	id530	0
id529	id531	1
id532	id533	0
id532	id478	1
id534	id263	0
id534	id535	0
id534	id187	1
id534	id125	1
id536	id537	0
id536	id407	0
id536	id538	1
id536	id539	0
id540	id162	0
id540	id541	1
id542	id543	0
id542	id478	0
id542	id544	1
id545	id546	0
id545	id547	0
id545	id548	1
id549	id550	0
id549	id551	0
id549	id552	1
id549	id553	1
id554	id555	0
id554	id556	0
id554	id557	1
id554	id257	0
id558	id559	1
id558	id560	1
id558	id561	0
id562	id563	0
id562	id564	1
id565	id539	0
id565	id566	1
id565	id222	0
id567	id568	0
id567	id569	0
id567	id183	1
