s	t	w
id221	id210	1
id221	id207	0
id224	id225	1
id224	id226	1
id224	id219	0
id224	id227	0
id224	id228	0
id229	id210	1
id229	id207	1
id229	id230	1
id229	id126	1
id229	id187	0
id229	id231	0
id229	id232	0
id233	id226	1
id233	id222	1
id233	id125	0
id233	id207	0
id234	id235	1
id234	id236	1
id234	id237	1
id234	id238	0
id239	id240	1
id239	id241	1
id239	id192	0
id239	id231	0
id239	id242	0
id243	id244	1
id243	id3	1
id243	id245	0
id243	id212	0
id246	id247	1
id246	id125	0
id246	id231	0
id248	id249	1
id248	id250	1
id248	id251	0
id252	id253	1
id252	id254	1
id252	id255	0
id252	id256	0
id257	id258	1
id257	id259	1
id257	id260	1
id257	id256	0
id257	id261	0
id262	id263	1
id262	id264	1
id262	id188	0
id262	id192	0
id265	id266	1
id265	id267	1
id265	id268	1
id265	id124	0
id265	id125	0
id269	id270	1
id269	id271	1
id269	id272	0
id269	id273	0
id274	id275	1
id274	id185	1
id274	id183	1
id274	id276	0
id274	id277	0
id274	id278	0
id279	id265	1
id279	id268	1
id279	id280	0
id279	id281	0
id279	id282	0
id283	id284	1
id283	id285	1
id283	id286	1
id283	id185	0
id283	id287	0
id288	id289	1
id288	id290	1
id288	id256	1
id288	id291	0
id292	id274	1
id292	id293	1
id292	id184	0
id292	id294	0
id295	id296	1
id295	id297	1
id295	id298	0
id299	id212	1
id299	id187	0
id300	id299	1
id300	id301	1
id300	id231	0
id300	id187	0
id300	id302	0
id303	id304	1
id303	id305	1
id303	id125	0
id306	id41	1
id306	id207	1
id306	id226	1
id306	id231	0
id306	id187	0
id306	id307	0
id308	id207	1
id308	id127	1
id309	id207	1
id309	id226	1
id309	id310	1
id309	id41	1
id309	id231	0
id309	id187	0
id309	id225	0
id311	id121	1
id311	id122	1
id311	id125	0
id312	id313	1
id312	id314	1
id312	id315	0
id316	id41	1
id316	id317	1
id316	id187	0
id316	id231	0
id41	id318	1
id41	id319	1
id41	id320	1
id41	id321	0
id41	id187	0
id41	id322	0
id41	id323	0
id324	id325	1
id324	id187	0
id230	id326	1
id230	id41	1
id230	id187	0
id327	id308	1
id327	id328	1
id327	id187	0
id329	id330	1
id329	id331	1
id329	id332	1
id329	id231	0
id333	id334	1
id333	id335	1
id333	id212	1
id333	id336	0
id333	id337	0
id338	id339	1
id338	id340	1
id338	id341	1
id338	id342	0
id338	id343	0
id344	id345	1
id344	id346	1
id344	id125	0
id344	id154	0
id347	id348	1
id347	id349	1
id347	id350	0
id347	id124	0
id351	id338	1
id351	id352	1
id351	id184	0
id353	id354	1
id353	id345	1
id353	id355	1
id353	id125	0
id353	id219	0
id353	id127	0
id356	id357	1
id356	id185	1
id356	id358	0
id356	id359	0
id357	id356	1
id357	id352	1
id357	id358	0
id357	id125	0
id360	id210	1
id360	id361	1
id360	id231	0
id360	id362	0
id363	id364	1
id363	id127	1
id365	id366	1
id365	id367	1
id365	id362	1
id365	id359	0
id365	id368	0
id369	id370	1
id369	id121	1
id369	id125	0
id371	id121	1
id371	id372	1
id371	id125	1
id371	id154	0
id373	id374	1
id373	id375	1
id373	id376	1
id373	id362	0
id377	id378	1
id377	id373	1
id377	id379	1
id377	id370	0
id380	id41	1
id380	id381	1
id380	id382	1
id380	id125	0
id383	id384	1
id383	id385	1
id383	id179	0
id383	id386	0
id387	id383	1
id387	id185	1
id387	id388	1
id387	id389	0
id387	id390	0
id387	id391	0
id392	id183	1
id392	id185	1
id392	id393	0
id392	id394	0
id392	id269	0
id395	id396	1
id395	id397	0
id201	id398	1
id201	id399	1
id201	id202	1
id201	id400	0
id201	id191	0
id401	id402	1
id401	id227	0
id186	id196	1
id186	id227	0
id222	id225	1
id222	id187	0
id227	id225	1
id227	id403	0
id404	id405	1
id404	id187	0
id406	id407	1
id406	id227	0
id207	id408	1
id207	id226	1
id207	id225	1
id207	id187	0
id207	id227	0
id409	id195	1
id409	id193	1
id409	id187	0
id410	id193	1
id410	id411	1
id410	id412	0
id410	id187	0
id413	id121	1
id413	id414	1
id413	id125	0
id378	id377	1
id378	id373	1
id378	id415	0
id416	id41	1
id416	id417	1
id416	id418	0
id419	id217	1
id419	id364	1
id419	id125	0
id420	id411	1
id420	id421	0
id420	id422	0
id423	id424	1
id423	id425	1
id423	id154	0
id423	id426	0
id427	id428	1
id427	id124	0
id429	id436	1
id429	id431	1
id429	id432	0
id429	id433	0
id434	id435	1
id434	id503	1
id434	id436	0
id437	id210	1
id437	id121	1
id437	id125	0
id210	id207	1
id210	id121	1
id210	id125	0
id210	id438	0
id439	id210	1
id439	id314	1
id439	id440	1
id439	id227	0
id441	id203	1
id441	id442	1
id441	id491	0
id212	id443	1
id212	id444	1
id212	id445	0
id212	id446	0
id447	id207	1
id447	id448	0
id449	id450	1
id449	id451	1
id449	id491	0
id452	id453	1
id452	id454	1
id452	id455	0
id456	id457	1
id456	id301	1
id456	id458	0
id459	id460	1
id459	id461	1
id459	id125	0
id462	id463	1
id462	id187	0
id464	id195	1
id464	id455	0
id465	id207	1
id465	id187	0
id226	id425	1
id226	id187	0
id226	id231	0
id330	id466	1
id330	id187	0
id467	id468	1
id467	id411	1
id467	id187	0
id469	id470	1
id469	id124	0
id471	id472	1
id471	id473	1
id471	id430	0
id457	id326	1
id457	id125	0
id474	id411	1
id474	id475	0
id476	id477	1
id476	id183	1
id476	id479	0
id476	id480	0
id476	id481	0
id482	id483	1
id482	id484	1
id482	id485	0
id486	id184	1
id486	id487	0
id488	id474	1
id488	id184	0
id489	id490	1
id489	id491	0
id492	id411	1
id492	id493	0
id494	id311	1
id494	id495	0
id496	id326	1
id496	id454	1
id496	id497	0
id496	id498	0
id499	id500	1
id499	id501	0
id502	id503	1
id502	id504	1
id502	id125	0
id502	id505	0
id506	id507	1
id506	id508	1
id506	id509	0
id506	id164	0
id78	id510	1
id78	id263	1
id78	id511	0
id512	id310	1
id512	id513	0
id512	id514	0
id515	id452	1
id515	id202	1
id515	id55	0
id516	id517	1
id516	id518	1
id516	id450	0
id519	id520	1
id519	id521	1
id519	id522	0
id523	id524	1
id523	id55	0
id525	id526	1
id525	id527	1
id525	id499	1
id525	id528	0
id529	id290	1
id529	id530	1
id529	id531	0
